Ano,Codigo do municipio,Municipio,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
2021,352260,ITAPIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,9,
2021,352265,ITAPIRAPUA PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,
2021,352270,ITAPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,-,-,-,-,-,-,-,133,
2021,352280,ITAPORANGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,157,-,-,-,-,-,-,-,157,
2021,352290,ITAPUI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,352300,ITAPURA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,62,
2021,352310,ITAQUAQUECETUBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,-,-,-,-,-,-,-,86,
2021,352320,ITARARE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,529,-,-,-,-,-,-,-,529,
2021,352330,ITARIRI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,6,
2021,352340,ITATIBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,59,
2021,352360,ITIRAPINA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,352380,ITOBI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,
2021,352390,ITU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,397,-,-,-,-,-,-,-,397,
2021,352400,ITUPEVA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,814,-,-,-,-,-,-,-,814,
2021,352410,ITUVERAVA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,12,
2021,352420,JABORANDI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,6,
2021,352430,JABOTICABAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252,-,-,-,-,-,-,-,252,
2021,352440,JACAREI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,-,-,-,-,-,-,-,127,
2021,352450,JACI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,-,-,-,-,-,-,-,101,
2021,352460,JACUPIRANGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,
2021,352470,JAGUARIUNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,23,
2021,352480,JALES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,632,-,-,-,-,-,-,-,632,
2021,352490,JAMBEIRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,352500,JANDIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,352510,JARDINOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,
2021,352520,JARINU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,352530,JAU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,78,
2021,352540,JERIQUARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,
2021,352550,JOANOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,
2021,352560,JOAO RAMALHO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,
2021,352570,JOSE BONIFACIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,-,-,-,-,-,-,-,86,
2021,352580,JULIO MESQUITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,7,
2021,352585,JUMIRIM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,
2021,352590,JUNDIAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568,-,-,-,-,-,-,-,568,
2021,352600,JUNQUEIROPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388,-,-,-,-,-,-,-,388,
2021,352610,JUQUIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,-,-,-,-,-,-,-,41,
2021,352640,LARANJAL PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-,-,-,-,-,-,-,235,
2021,352650,LAVINIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,24,
2021,352660,LAVRINHAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,352670,LEME,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,-,58,
2021,352680,LENCOIS PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,-,-,-,-,-,-,-,89,
2021,352690,LIMEIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,536,-,-,-,-,-,-,-,536,
2021,352700,LINDOIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,18,
2021,352710,LINS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,583,-,-,-,-,-,-,-,583,
2021,352720,LORENA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,20,
2021,352725,LOURDES,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,-,-,-,-,-,20,
2021,352730,LOUVEIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,26,
2021,352740,LUCELIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,12,
2021,352750,LUCIANOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,9,
2021,352760,LUIS ANTONIO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,33,
2021,352770,LUIZIANIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,6,
